article_id,headline,section,author,published_at,primary_channel,word_count,is_premium
1001,City transit plans move ahead,News,Avery Stone,2026-06-01 08:15:00,search,840,false
1002,Inside the summer arts calendar,Culture,Jamie Lee,2026-06-02 09:00:00,social,1260,false
1003,Markets digest renewed ad spending,Business,Riley Chen,2026-06-03 07:30:00,newsletter,980,true
1004,Championship preview by the numbers,Sports,Morgan Patel,2026-06-04 10:45:00,search,1120,false
1005,How publishers retain loyal readers,Media,Casey Brooks,2026-06-05 06:55:00,newsletter,1540,true
1006,Streaming habits shift after season finales,Entertainment,Taylor Quinn,2026-06-06 11:20:00,social,910,false
100001,Transport faces fresh scrutiny,Culture,Jamie Lee,2026-06-02 07:07:00,social,1968,false
100002,Streaming draws record interest,Business,Morgan Patel,2026-06-03 08:14:00,newsletter,907,true
100003,Football signals cautious optimism,Sports,Riley Brooks,2026-06-04 09:21:00,search,659,false
100004,Schools faces fresh scrutiny,Media,Taylor Morgan,2026-06-05 10:28:00,social,1659,true
100005,Elections faces fresh scrutiny,Entertainment,Casey Reed,2026-06-06 11:35:00,newsletter,511,true
100006,Transport draws record interest,News,Jordan Quinn,2026-06-07 12:42:00,search,926,false
100007,Schools finds a wider audience,Culture,Sam Rivera,2026-06-08 13:49:00,social,504,false
100008,Schools draws record interest,Business,Avery Stone,2026-06-09 14:56:00,newsletter,1916,true
100009,Schools sparks local debate,Sports,Jamie Lee,2026-06-10 15:03:00,search,901,false
100010,Startups finds a wider audience,Media,Morgan Patel,2026-06-11 16:10:00,social,1019,true
100011,Housing draws record interest,Entertainment,Riley Brooks,2026-06-12 17:17:00,newsletter,1879,false
100012,Elections sets new agenda,News,Taylor Morgan,2026-06-13 06:24:00,search,1019,false
100013,Football draws record interest,Culture,Casey Reed,2026-06-14 07:31:00,social,2013,false
100014,Markets faces fresh scrutiny,Business,Jordan Quinn,2026-06-15 08:38:00,newsletter,639,true
100015,Elections faces fresh scrutiny,Sports,Sam Rivera,2026-06-16 09:45:00,search,1185,true
100016,Markets finds a wider audience,Media,Avery Stone,2026-06-17 10:52:00,social,991,true
100017,Housing signals cautious optimism,Entertainment,Jamie Lee,2026-06-18 11:59:00,newsletter,1390,false
100018,Schools faces fresh scrutiny,News,Morgan Patel,2026-06-19 12:06:00,search,2338,false
100019,Elections faces fresh scrutiny,Culture,Riley Brooks,2026-06-20 13:13:00,social,1580,false
100020,Streaming signals cautious optimism,Business,Taylor Morgan,2026-06-21 14:20:00,newsletter,1716,true
100021,Markets finds a wider audience,Sports,Casey Reed,2026-06-22 15:27:00,search,843,false
100022,Transport faces fresh scrutiny,Media,Jordan Quinn,2026-06-23 16:34:00,social,1804,true
100023,Theatre sets new agenda,Entertainment,Sam Rivera,2026-06-24 17:41:00,newsletter,613,false
100024,Theatre faces fresh scrutiny,News,Avery Stone,2026-06-25 06:48:00,search,1228,false
100025,Streaming sparks local debate,Culture,Jamie Lee,2026-06-26 07:55:00,social,1751,true
100026,Markets draws record interest,Business,Morgan Patel,2026-06-27 08:02:00,newsletter,1208,true
100027,Markets draws record interest,Sports,Riley Brooks,2026-06-28 09:09:00,search,1822,false
100028,Streaming signals cautious optimism,Media,Taylor Morgan,2026-06-29 10:16:00,social,2368,true
100029,Transport finds a wider audience,Entertainment,Casey Reed,2026-06-30 11:23:00,newsletter,1750,false
100030,Football finds a wider audience,News,Jordan Quinn,2026-07-01 12:30:00,search,1943,true
100031,Theatre draws record interest,Culture,Sam Rivera,2026-07-02 13:37:00,social,1396,false
100032,Elections sets new agenda,Business,Avery Stone,2026-07-03 14:44:00,newsletter,2345,true
100033,Schools draws record interest,Sports,Jamie Lee,2026-07-04 15:51:00,search,1852,false
100034,Markets faces fresh scrutiny,Media,Morgan Patel,2026-07-05 16:58:00,social,919,true
100035,Housing sets new agenda,Entertainment,Riley Brooks,2026-07-06 17:05:00,newsletter,1271,true
100036,Streaming faces fresh scrutiny,News,Taylor Morgan,2026-07-07 06:12:00,search,882,false
100037,Restaurants signals cautious optimism,Culture,Casey Reed,2026-07-08 07:19:00,social,1094,false
100038,Theatre signals cautious optimism,Business,Jordan Quinn,2026-07-09 08:26:00,newsletter,1472,true
100039,Elections signals cautious optimism,Sports,Sam Rivera,2026-07-10 09:33:00,search,1389,false
100040,Football sets new agenda,Media,Avery Stone,2026-07-11 10:40:00,social,735,true
100041,Theatre signals cautious optimism,Entertainment,Jamie Lee,2026-07-12 11:47:00,newsletter,1599,false
100042,Schools sets new agenda,News,Morgan Patel,2026-07-13 12:54:00,search,1979,false
100043,Restaurants sparks local debate,Culture,Riley Brooks,2026-07-14 13:01:00,social,2288,false
100044,Restaurants sparks local debate,Business,Taylor Morgan,2026-07-15 14:08:00,newsletter,1191,true
100045,Theatre draws record interest,Sports,Casey Reed,2026-06-01 15:15:00,search,1493,true
100046,Startups faces fresh scrutiny,Media,Jordan Quinn,2026-06-02 16:22:00,social,1997,true
100047,Housing faces fresh scrutiny,Entertainment,Sam Rivera,2026-06-03 17:29:00,newsletter,763,false
100048,Football signals cautious optimism,News,Avery Stone,2026-06-04 06:36:00,search,1314,false
100049,Restaurants faces fresh scrutiny,Culture,Jamie Lee,2026-06-05 07:43:00,social,1238,false
100050,Elections finds a wider audience,Business,Morgan Patel,2026-06-06 08:50:00,newsletter,1408,true
100051,Schools sets new agenda,Sports,Riley Brooks,2026-06-07 09:57:00,search,1583,false
100052,Housing signals cautious optimism,Media,Taylor Morgan,2026-06-08 10:04:00,social,1926,true
100053,Transport signals cautious optimism,Entertainment,Casey Reed,2026-06-09 11:11:00,newsletter,2262,false
100054,Schools sets new agenda,News,Jordan Quinn,2026-06-10 12:18:00,search,2024,false
100055,Markets faces fresh scrutiny,Culture,Sam Rivera,2026-06-11 13:25:00,social,1051,true
100056,Elections draws record interest,Business,Avery Stone,2026-06-12 14:32:00,newsletter,1379,true
100057,Housing signals cautious optimism,Sports,Jamie Lee,2026-06-13 15:39:00,search,2243,false
100058,Streaming finds a wider audience,Media,Morgan Patel,2026-06-14 16:46:00,social,2010,true
100059,Football finds a wider audience,Entertainment,Riley Brooks,2026-06-15 17:53:00,newsletter,2319,false
100060,Transport signals cautious optimism,News,Taylor Morgan,2026-06-16 06:00:00,search,1061,true
100061,Schools finds a wider audience,Culture,Casey Reed,2026-06-17 07:07:00,social,857,false
100062,Football sets new agenda,Business,Jordan Quinn,2026-06-18 08:14:00,newsletter,2011,true
100063,Football finds a wider audience,Sports,Sam Rivera,2026-06-19 09:21:00,search,2044,false
100064,Schools faces fresh scrutiny,Media,Avery Stone,2026-06-20 10:28:00,social,1676,true
100065,Markets sparks local debate,Entertainment,Jamie Lee,2026-06-21 11:35:00,newsletter,489,true
100066,Transport sets new agenda,News,Morgan Patel,2026-06-22 12:42:00,search,2249,false
100067,Streaming draws record interest,Culture,Riley Brooks,2026-06-23 13:49:00,social,568,false
100068,Theatre finds a wider audience,Business,Taylor Morgan,2026-06-24 14:56:00,newsletter,2389,true
100069,Transport faces fresh scrutiny,Sports,Casey Reed,2026-06-25 15:03:00,search,1948,false
100070,Startups faces fresh scrutiny,Media,Jordan Quinn,2026-06-26 16:10:00,social,2007,true
100071,Schools draws record interest,Entertainment,Sam Rivera,2026-06-27 17:17:00,newsletter,712,false
100072,Startups finds a wider audience,News,Avery Stone,2026-06-28 06:24:00,search,788,false
100073,Streaming finds a wider audience,Culture,Jamie Lee,2026-06-29 07:31:00,social,2236,false
100074,Restaurants sparks local debate,Business,Morgan Patel,2026-06-30 08:38:00,newsletter,883,true
100075,Schools signals cautious optimism,Sports,Riley Brooks,2026-07-01 09:45:00,search,1862,true
100076,Theatre signals cautious optimism,Media,Taylor Morgan,2026-07-02 10:52:00,social,1088,true
100077,Elections signals cautious optimism,Entertainment,Casey Reed,2026-07-03 11:59:00,newsletter,1780,false
100078,Markets sparks local debate,News,Jordan Quinn,2026-07-04 12:06:00,search,2292,false
100079,Schools sparks local debate,Culture,Sam Rivera,2026-07-05 13:13:00,social,697,false
100080,Theatre draws record interest,Business,Avery Stone,2026-07-06 14:20:00,newsletter,581,true
100081,Markets faces fresh scrutiny,Sports,Jamie Lee,2026-07-07 15:27:00,search,1654,false
100082,Schools draws record interest,Media,Morgan Patel,2026-07-08 16:34:00,social,1655,true
100083,Theatre faces fresh scrutiny,Entertainment,Riley Brooks,2026-07-09 17:41:00,newsletter,595,false
100084,Housing draws record interest,News,Taylor Morgan,2026-07-10 06:48:00,search,588,false
100085,Housing sets new agenda,Culture,Casey Reed,2026-07-11 07:55:00,social,595,true
100086,Schools draws record interest,Business,Jordan Quinn,2026-07-12 08:02:00,newsletter,1020,true
100087,Startups draws record interest,Sports,Sam Rivera,2026-07-13 09:09:00,search,1554,false
100088,Football signals cautious optimism,Media,Avery Stone,2026-07-14 10:16:00,social,2365,true
100089,Restaurants finds a wider audience,Entertainment,Jamie Lee,2026-07-15 11:23:00,newsletter,1418,false
100090,Theatre sparks local debate,News,Morgan Patel,2026-06-01 12:30:00,search,2103,true
100091,Elections draws record interest,Culture,Riley Brooks,2026-06-02 13:37:00,social,643,false
100092,Transport signals cautious optimism,Business,Taylor Morgan,2026-06-03 14:44:00,newsletter,1332,true
100093,Markets sparks local debate,Sports,Casey Reed,2026-06-04 15:51:00,search,1291,false
100094,Startups signals cautious optimism,Media,Jordan Quinn,2026-06-05 16:58:00,social,560,true
100095,Transport faces fresh scrutiny,Entertainment,Sam Rivera,2026-06-06 17:05:00,newsletter,1274,true
100096,Markets faces fresh scrutiny,News,Avery Stone,2026-06-07 06:12:00,search,959,false
100097,Theatre draws record interest,Culture,Jamie Lee,2026-06-08 07:19:00,social,1548,false
100098,Startups draws record interest,Business,Morgan Patel,2026-06-09 08:26:00,newsletter,1314,true
100099,Football sets new agenda,Sports,Riley Brooks,2026-06-10 09:33:00,search,1397,false
100100,Theatre faces fresh scrutiny,Media,Taylor Morgan,2026-06-11 10:40:00,social,1357,true
100101,Schools faces fresh scrutiny,Entertainment,Casey Reed,2026-06-12 11:47:00,newsletter,553,false
100102,Schools faces fresh scrutiny,News,Jordan Quinn,2026-06-13 12:54:00,search,641,false
100103,Theatre draws record interest,Culture,Sam Rivera,2026-06-14 13:01:00,social,1282,false
100104,Startups sparks local debate,Business,Avery Stone,2026-06-15 14:08:00,newsletter,887,true
100105,Elections faces fresh scrutiny,Sports,Jamie Lee,2026-06-16 15:15:00,search,787,true
100106,Elections faces fresh scrutiny,Media,Morgan Patel,2026-06-17 16:22:00,social,1249,true
100107,Streaming sparks local debate,Entertainment,Riley Brooks,2026-06-18 17:29:00,newsletter,1034,false
100108,Elections signals cautious optimism,News,Taylor Morgan,2026-06-19 06:36:00,search,1946,false
100109,Schools signals cautious optimism,Culture,Casey Reed,2026-06-20 07:43:00,social,1921,false
100110,Startups draws record interest,Business,Jordan Quinn,2026-06-21 08:50:00,newsletter,838,true
100111,Streaming draws record interest,Sports,Sam Rivera,2026-06-22 09:57:00,search,569,false
100112,Restaurants signals cautious optimism,Media,Avery Stone,2026-06-23 10:04:00,social,1560,true
100113,Housing signals cautious optimism,Entertainment,Jamie Lee,2026-06-24 11:11:00,newsletter,1092,false
100114,Housing faces fresh scrutiny,News,Morgan Patel,2026-06-25 12:18:00,search,1646,false
100115,Startups finds a wider audience,Culture,Riley Brooks,2026-06-26 13:25:00,social,2332,true
100116,Schools draws record interest,Business,Taylor Morgan,2026-06-27 14:32:00,newsletter,566,true
100117,Schools faces fresh scrutiny,Sports,Casey Reed,2026-06-28 15:39:00,search,2193,false
100118,Football faces fresh scrutiny,Media,Jordan Quinn,2026-06-29 16:46:00,social,1668,true
100119,Transport signals cautious optimism,Entertainment,Sam Rivera,2026-06-30 17:53:00,newsletter,2215,false
100120,Theatre sparks local debate,News,Avery Stone,2026-07-01 06:00:00,search,695,true
100121,Restaurants draws record interest,Culture,Jamie Lee,2026-07-02 07:07:00,social,1635,false
100122,Restaurants faces fresh scrutiny,Business,Morgan Patel,2026-07-03 08:14:00,newsletter,1718,true
100123,Transport sparks local debate,Sports,Riley Brooks,2026-07-04 09:21:00,search,1796,false
100124,Restaurants finds a wider audience,Media,Taylor Morgan,2026-07-05 10:28:00,social,1520,true
100125,Markets sets new agenda,Entertainment,Casey Reed,2026-07-06 11:35:00,newsletter,868,true
100126,Markets draws record interest,News,Jordan Quinn,2026-07-07 12:42:00,search,993,false
100127,Elections draws record interest,Culture,Sam Rivera,2026-07-08 13:49:00,social,1825,false
100128,Streaming sparks local debate,Business,Avery Stone,2026-07-09 14:56:00,newsletter,1097,true
100129,Transport faces fresh scrutiny,Sports,Jamie Lee,2026-07-10 15:03:00,search,1388,false
100130,Restaurants finds a wider audience,Media,Morgan Patel,2026-07-11 16:10:00,social,654,true
100131,Transport finds a wider audience,Entertainment,Riley Brooks,2026-07-12 17:17:00,newsletter,886,false
100132,Schools sets new agenda,News,Taylor Morgan,2026-07-13 06:24:00,search,721,false
100133,Markets faces fresh scrutiny,Culture,Casey Reed,2026-07-14 07:31:00,social,2250,false
100134,Theatre sets new agenda,Business,Jordan Quinn,2026-07-15 08:38:00,newsletter,1033,true
100135,Football sparks local debate,Sports,Sam Rivera,2026-06-01 09:45:00,search,2157,true
100136,Schools signals cautious optimism,Media,Avery Stone,2026-06-02 10:52:00,social,1069,true
100137,Restaurants signals cautious optimism,Entertainment,Jamie Lee,2026-06-03 11:59:00,newsletter,1533,false
100138,Housing signals cautious optimism,News,Morgan Patel,2026-06-04 12:06:00,search,2123,false
100139,Schools sets new agenda,Culture,Riley Brooks,2026-06-05 13:13:00,social,2358,false
100140,Transport draws record interest,Business,Taylor Morgan,2026-06-06 14:20:00,newsletter,991,true
100141,Transport faces fresh scrutiny,Sports,Casey Reed,2026-06-07 15:27:00,search,1970,false
100142,Schools draws record interest,Media,Jordan Quinn,2026-06-08 16:34:00,social,1007,true
100143,Streaming finds a wider audience,Entertainment,Sam Rivera,2026-06-09 17:41:00,newsletter,881,false
100144,Markets draws record interest,News,Avery Stone,2026-06-10 06:48:00,search,1857,false
100145,Streaming finds a wider audience,Culture,Jamie Lee,2026-06-11 07:55:00,social,1450,true
100146,Streaming faces fresh scrutiny,Business,Morgan Patel,2026-06-12 08:02:00,newsletter,639,true
100147,Elections sets new agenda,Sports,Riley Brooks,2026-06-13 09:09:00,search,540,false
100148,Housing sets new agenda,Media,Taylor Morgan,2026-06-14 10:16:00,social,2029,true
100149,Football signals cautious optimism,Entertainment,Casey Reed,2026-06-15 11:23:00,newsletter,986,false
100150,Football signals cautious optimism,News,Jordan Quinn,2026-06-16 12:30:00,search,1354,true
100151,Schools signals cautious optimism,Culture,Sam Rivera,2026-06-17 13:37:00,social,1325,false
100152,Schools faces fresh scrutiny,Business,Avery Stone,2026-06-18 14:44:00,newsletter,679,true
100153,Transport signals cautious optimism,Sports,Jamie Lee,2026-06-19 15:51:00,search,2301,false
100154,Football finds a wider audience,Media,Morgan Patel,2026-06-20 16:58:00,social,523,true
100155,Markets finds a wider audience,Entertainment,Riley Brooks,2026-06-21 17:05:00,newsletter,1581,true
100156,Football sparks local debate,News,Taylor Morgan,2026-06-22 06:12:00,search,711,false
100157,Housing sets new agenda,Culture,Casey Reed,2026-06-23 07:19:00,social,1196,false
100158,Housing sets new agenda,Business,Jordan Quinn,2026-06-24 08:26:00,newsletter,880,true
100159,Theatre signals cautious optimism,Sports,Sam Rivera,2026-06-25 09:33:00,search,660,false
100160,Markets finds a wider audience,Media,Avery Stone,2026-06-26 10:40:00,social,2260,true
100161,Elections finds a wider audience,Entertainment,Jamie Lee,2026-06-27 11:47:00,newsletter,1984,false
100162,Football draws record interest,News,Morgan Patel,2026-06-28 12:54:00,search,2220,false
100163,Football draws record interest,Culture,Riley Brooks,2026-06-29 13:01:00,social,2255,false
100164,Elections faces fresh scrutiny,Business,Taylor Morgan,2026-06-30 14:08:00,newsletter,817,true
100165,Markets sparks local debate,Sports,Casey Reed,2026-07-01 15:15:00,search,2092,true
100166,Theatre sets new agenda,Media,Jordan Quinn,2026-07-02 16:22:00,social,776,true
100167,Transport sparks local debate,Entertainment,Sam Rivera,2026-07-03 17:29:00,newsletter,2236,false
100168,Housing sparks local debate,News,Avery Stone,2026-07-04 06:36:00,search,905,false
100169,Theatre sparks local debate,Culture,Jamie Lee,2026-07-05 07:43:00,social,1166,false
100170,Streaming draws record interest,Business,Morgan Patel,2026-07-06 08:50:00,newsletter,906,true
100171,Housing signals cautious optimism,Sports,Riley Brooks,2026-07-07 09:57:00,search,845,false
100172,Elections sets new agenda,Media,Taylor Morgan,2026-07-08 10:04:00,social,1020,true
100173,Transport sets new agenda,Entertainment,Casey Reed,2026-07-09 11:11:00,newsletter,1169,false
100174,Schools sparks local debate,News,Jordan Quinn,2026-07-10 12:18:00,search,1841,false
100175,Schools sets new agenda,Culture,Sam Rivera,2026-07-11 13:25:00,social,2373,true
100176,Housing faces fresh scrutiny,Business,Avery Stone,2026-07-12 14:32:00,newsletter,2246,true
100177,Streaming draws record interest,Sports,Jamie Lee,2026-07-13 15:39:00,search,1639,false
100178,Streaming faces fresh scrutiny,Media,Morgan Patel,2026-07-14 16:46:00,social,672,true
100179,Restaurants sparks local debate,Entertainment,Riley Brooks,2026-07-15 17:53:00,newsletter,1157,false
100180,Markets sparks local debate,News,Taylor Morgan,2026-06-01 06:00:00,search,1691,true
100181,Schools faces fresh scrutiny,Culture,Casey Reed,2026-06-02 07:07:00,social,1238,false
100182,Restaurants draws record interest,Business,Jordan Quinn,2026-06-03 08:14:00,newsletter,971,true
100183,Housing signals cautious optimism,Sports,Sam Rivera,2026-06-04 09:21:00,search,1343,false
100184,Housing finds a wider audience,Media,Avery Stone,2026-06-05 10:28:00,social,2345,true
100185,Schools signals cautious optimism,Entertainment,Jamie Lee,2026-06-06 11:35:00,newsletter,1923,true
100186,Theatre sets new agenda,News,Morgan Patel,2026-06-07 12:42:00,search,1333,false
100187,Transport signals cautious optimism,Culture,Riley Brooks,2026-06-08 13:49:00,social,2335,false
100188,Markets finds a wider audience,Business,Taylor Morgan,2026-06-09 14:56:00,newsletter,1092,true
100189,Transport signals cautious optimism,Sports,Casey Reed,2026-06-10 15:03:00,search,2293,false
100190,Streaming finds a wider audience,Media,Jordan Quinn,2026-06-11 16:10:00,social,1083,true
100191,Elections sets new agenda,Entertainment,Sam Rivera,2026-06-12 17:17:00,newsletter,1274,false
100192,Streaming finds a wider audience,News,Avery Stone,2026-06-13 06:24:00,search,710,false
100193,Theatre sparks local debate,Culture,Jamie Lee,2026-06-14 07:31:00,social,1811,false
100194,Elections signals cautious optimism,Business,Morgan Patel,2026-06-15 08:38:00,newsletter,1982,true
100195,Football finds a wider audience,Sports,Riley Brooks,2026-06-16 09:45:00,search,1615,true
100196,Streaming sparks local debate,Media,Taylor Morgan,2026-06-17 10:52:00,social,1572,true
100197,Housing sets new agenda,Entertainment,Casey Reed,2026-06-18 11:59:00,newsletter,1037,false
100198,Theatre sparks local debate,News,Jordan Quinn,2026-06-19 12:06:00,search,2059,false
100199,Restaurants finds a wider audience,Culture,Sam Rivera,2026-06-20 13:13:00,social,1790,false
100200,Markets sparks local debate,Business,Avery Stone,2026-06-21 14:20:00,newsletter,1354,true
100201,Startups signals cautious optimism,Sports,Jamie Lee,2026-06-22 15:27:00,search,887,false
100202,Schools sparks local debate,Media,Morgan Patel,2026-06-23 16:34:00,social,2075,true
100203,Football signals cautious optimism,Entertainment,Riley Brooks,2026-06-24 17:41:00,newsletter,623,false
100204,Streaming finds a wider audience,News,Taylor Morgan,2026-06-25 06:48:00,search,1809,false
100205,Restaurants sets new agenda,Culture,Casey Reed,2026-06-26 07:55:00,social,641,true
100206,Theatre signals cautious optimism,Business,Jordan Quinn,2026-06-27 08:02:00,newsletter,1085,true
100207,Theatre draws record interest,Sports,Sam Rivera,2026-06-28 09:09:00,search,751,false
100208,Housing faces fresh scrutiny,Media,Avery Stone,2026-06-29 10:16:00,social,951,true
100209,Startups finds a wider audience,Entertainment,Jamie Lee,2026-06-30 11:23:00,newsletter,2190,false
100210,Transport sparks local debate,News,Morgan Patel,2026-07-01 12:30:00,search,1298,true
100211,Restaurants draws record interest,Culture,Riley Brooks,2026-07-02 13:37:00,social,1921,false
100212,Elections sparks local debate,Business,Taylor Morgan,2026-07-03 14:44:00,newsletter,1268,true
100213,Theatre draws record interest,Sports,Casey Reed,2026-07-04 15:51:00,search,1793,false
100214,Housing faces fresh scrutiny,Media,Jordan Quinn,2026-07-05 16:58:00,social,2044,true
100215,Elections draws record interest,Entertainment,Sam Rivera,2026-07-06 17:05:00,newsletter,810,true
100216,Schools sparks local debate,News,Avery Stone,2026-07-07 06:12:00,search,552,false
100217,Schools draws record interest,Culture,Jamie Lee,2026-07-08 07:19:00,social,2328,false
100218,Transport sparks local debate,Business,Morgan Patel,2026-07-09 08:26:00,newsletter,723,true
100219,Startups signals cautious optimism,Sports,Riley Brooks,2026-07-10 09:33:00,search,1537,false
100220,Schools finds a wider audience,Media,Taylor Morgan,2026-07-11 10:40:00,social,1099,true
100221,Startups finds a wider audience,Entertainment,Casey Reed,2026-07-12 11:47:00,newsletter,2119,false
100222,Schools sparks local debate,News,Jordan Quinn,2026-07-13 12:54:00,search,2151,false
100223,Schools sparks local debate,Culture,Sam Rivera,2026-07-14 13:01:00,social,2287,false
100224,Football signals cautious optimism,Business,Avery Stone,2026-07-15 14:08:00,newsletter,2214,true
100225,Startups sparks local debate,Sports,Jamie Lee,2026-06-01 15:15:00,search,980,true
100226,Theatre signals cautious optimism,Media,Morgan Patel,2026-06-02 16:22:00,social,1017,true
100227,Schools sparks local debate,Entertainment,Riley Brooks,2026-06-03 17:29:00,newsletter,1733,false
100228,Theatre sets new agenda,News,Taylor Morgan,2026-06-04 06:36:00,search,1350,false
100229,Transport signals cautious optimism,Culture,Casey Reed,2026-06-05 07:43:00,social,1035,false
100230,Theatre sets new agenda,Business,Jordan Quinn,2026-06-06 08:50:00,newsletter,1137,true
100231,Markets finds a wider audience,Sports,Sam Rivera,2026-06-07 09:57:00,search,615,false
100232,Football draws record interest,Media,Avery Stone,2026-06-08 10:04:00,social,923,true
100233,Elections signals cautious optimism,Entertainment,Jamie Lee,2026-06-09 11:11:00,newsletter,762,false
100234,Theatre faces fresh scrutiny,News,Morgan Patel,2026-06-10 12:18:00,search,1299,false
100235,Elections sets new agenda,Culture,Riley Brooks,2026-06-11 13:25:00,social,1561,true
100236,Startups sparks local debate,Business,Taylor Morgan,2026-06-12 14:32:00,newsletter,577,true
100237,Theatre sparks local debate,Sports,Casey Reed,2026-06-13 15:39:00,search,1247,false
100238,Restaurants signals cautious optimism,Media,Jordan Quinn,2026-06-14 16:46:00,social,490,true
100239,Restaurants sparks local debate,Entertainment,Sam Rivera,2026-06-15 17:53:00,newsletter,1426,false
100240,Housing sets new agenda,News,Avery Stone,2026-06-16 06:00:00,search,1061,true
100241,Elections sparks local debate,Culture,Jamie Lee,2026-06-17 07:07:00,social,1552,false
100242,Schools finds a wider audience,Business,Morgan Patel,2026-06-18 08:14:00,newsletter,2288,true
100243,Theatre sparks local debate,Sports,Riley Brooks,2026-06-19 09:21:00,search,899,false
100244,Streaming sparks local debate,Media,Taylor Morgan,2026-06-20 10:28:00,social,1444,true
